MeasureItem,Month,Year,Category,Country,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,3,2024,Biomass,SI,B01,09/09/2024 16:26,100,8.29966,
Monthly Domestic Values,1,2024,Hydro Pumped Storage,PL,B10,09/09/2024 16:26,100,165.73105,
Monthly Domestic Values,6,2024,Other,DE,B20,09/09/2024 16:26,100,81.1570975,
Monthly Domestic Values,4,2024,Waste,DK,B17,09/09/2024 16:26,100,62.83907,
Monthly Domestic Values,3,2024,Solar,BA,B16,09/09/2024 16:26,100,4.37774,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,AT,B11,09/09/2024 16:26,100,3360.4057,
Monthly Domestic Values,3,2024,Biomass,SK,B01,09/09/2024 16:26,100,83.2301,
Monthly Domestic Values,6,2024,Fossil Brown coal/Lignite,HU,B02,09/09/2024 16:26,100,198.33116,
Monthly Domestic Values,2,2024,Hydro Water Reservoir,MK,B12,09/09/2024 16:26,100,75.38499,
Monthly Domestic Values,1,2024,Other,PT,B20,09/09/2024 16:26,100,22.0178,
Monthly Domestic Values,5,2024,Other,HU,B20,09/09/2024 16:26,100,41.69399,
Monthly Domestic Values,4,2024,Fossil Coal-derived gas,ES,B03,09/09/2024 16:26,100,0,
Monthly Domestic Values,4,2024,Biomass,CZ,B01,09/09/2024 16:26,100,203.79792,
Monthly Domestic Values,5,2024,Wind Onshore,AT,B19,09/09/2024 16:26,100,574.624,
Monthly Domestic Values,3,2024,Wind Onshore,NL,B19,09/09/2024 16:26,100,681.0447225,
Monthly Domestic Values,4,2024,Geothermal,AT,B09,09/09/2024 16:26,100,0.0504,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,IT,B11,09/09/2024 16:26,100,4483.493,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,HU,B11,09/09/2024 16:26,100,11.249485,
Monthly Domestic Values,2,2024,Wind Onshore,HU,B19,09/09/2024 16:26,100,73.3722225,
Monthly Domestic Values,4,2024,Biomass,RS,B01,09/09/2024 16:26,100,21.6,
Monthly Domestic Values,6,2024,Hydro Water Reservoir,GE,B12,09/09/2024 16:26,100,836.61572,
Monthly Domestic Values,6,2024,Fossil Oil,BE,B06,09/09/2024 16:26,100,0.12697,
Monthly Domestic Values,6,2024,Fossil Gas,ES,B04,09/09/2024 16:26,100,2802.283,
Monthly Domestic Values,3,2024,Hydro Water Reservoir,LU,B12,09/09/2024 16:26,100,1.2627175,
Monthly Domestic Values,5,2024,Other,LV,B20,09/09/2024 16:26,100,0,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,GE,B11,09/09/2024 16:26,100,328.27308,
Monthly Domestic Values,1,2024,Wind Onshore,IE,B19,09/09/2024 16:26,100,1133.529975,
Monthly Domestic Values,6,2024,Wind Offshore,FR,B18,09/09/2024 16:26,100,248.694,
Monthly Domestic Values,2,2024,Waste,HR,B17,09/09/2024 16:26,100,6.1136,
Monthly Domestic Values,3,2024,Fossil Gas,MD,B04,09/09/2024 16:26,100,419.827,
Monthly Domestic Values,2,2024,Geothermal,HU,B09,09/09/2024 16:26,100,0.5755125,
Monthly Domestic Values,6,2024,Biomass,NO,B01,09/09/2024 16:26,100,0,
Monthly Domestic Values,5,2024,Geothermal,HU,B09,09/09/2024 16:26,100,0.377945,
Monthly Domestic Values,6,2024,Fossil Oil,FR,B06,09/09/2024 16:26,100,112.757,
